drawing,image,condition,participant,RT,score,response
AD34_d03_apr06,a-pr6,search,AD34,1436,0,3
AD30_d05_apr01,a-pr1,search,AD30,13679,-0.5,2
AD31_d03_apr13,a-pr13,search,AD31,4172,-0.5,2
AD23_d06_apr13,a-pr13,search,AD23,2599,0.5,4
AD25_d03_apr01,a-pr1,search,AD25,16495,-0.5,2
AD34_d06_apr16,a-pr16,search,AD34,25292,-0.5,2
AD29_d12_apr23,a-pr23,search,AD29,4304,-0.5,2
AD26_d07_apr06,a-pr6,search,AD26,5089,-1,1
AD29_d09_apr13,a-pr13,search,AD29,7035,-0.5,2
AD36_d05_apr16,a-pr16,search,AD36,1302,-0.5,2
AD31_d07_apr23,a-pr23,search,AD31,7608,-0.5,2
AD26_d06_apr13,a-pr13,search,AD26,26776,-1,1
AD30_d12_apr14,a-pr14,search,AD30,1552,na,6
AD30_d01_apr23,a-pr23,search,AD30,2815,-1,1
AD27_d08_apr01,a-pr1,search,AD27,2809,0.5,4
AD31_d06_apr01,a-pr1,search,AD31,1846,0,3
AD29_d02_apr22,a-pr22,search,AD29,4088,0.5,4
AD32_d07_apr10,a-pr10,search,AD32,2373,0.5,4
AD36_d03_apr32,a-pr32,search,AD36,3394,na,6
AD32_d04_apr26,a-pr26,search,AD32,11207,0.5,4
AD28_d01_apr05,a-pr5,search,AD28,3370,1,5
AD27_d06_apr19,a-pr19,search,AD27,5803,0.5,4
AD24_d08_apr10,a-pr10,search,AD24,2699,0,3
AD32_d05_apr32,a-pr32,search,AD32,2241,na,6
AD34_d04_apr05,a-pr5,search,AD34,2327,-0.5,2
AD34_d01_apr22,a-pr22,search,AD34,1927,0,3
AD28_d04_apr16,a-pr16,search,AD28,3271,-0.5,2
AD33_d02_apr16,a-pr16,search,AD33,1351,-0.5,2
AD27_d07_apr10,a-pr10,search,AD27,2032,0.5,4
AD25_d01_apr05,a-pr5,search,AD25,2871,0,3
AD35_d01_apr10,a-pr10,search,AD35,1381,0.5,4
